ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60608,51,12/13/2020,12/19/2020,198,6176,250,7797.5,2788,63697,3520,80420.4,0.1,0.1,5,114,6.3,143.9,79205,60608-2020-51,POINT (-87.670366 41.849879)
60608,52,12/20/2020,12/26/2020,121,6297,153,7950.3,2314,66011,2922,83342,0.1,0.1,2,116,2.5,146.5,79205,60608-2020-52,POINT (-87.670366 41.849879)
60608,6,02/07/2021,02/13/2021,57,7291,72,9205.2,1871,81290,2362,102632.4,0.0,0.1,2,132,2.5,166.7,79205,60608-2021-6,POINT (-87.670366 41.849879)
60608,7,02/14/2021,02/20/2021,42,7333,53,9258.3,1832,83122,2313,104945.4,0.0,0.1,4,136,5.1,171.7,79205,60608-2021-7,POINT (-87.670366 41.849879)
60608,8,02/21/2021,02/27/2021,31,7364,39,9297.4,1999,85121,2524,107469.2,0.0,0.1,1,137,1.3,173.0,79205,60608-2021-8,POINT (-87.670366 41.849879)
60601,51,12/13/2020,12/19/2020,57,704,388,4797.3,879,13958,5990,95114.1,0.1,0.1,1,10,6.8,68.1,14675,60601-2020-51,POINT (-87.622844 41.886262)
60601,52,12/20/2020,12/26/2020,33,737,225,5022.1,646,14604,4402,99516.2,0.1,0.1,0,10,0.0,68.1,14675,60601-2020-52,POINT (-87.622844 41.886262)
60621,49,11/29/2020,12/05/2020,109,1437,375,4948,810,16252,2789,55960.3,0.1,0.1,7,63,24.1,216.9,29042,60621-2020-49,POINT (-87.638812 41.776931)
60621,53,12/27/2020,01/02/2021,54,1704,186,5867.4,534,18784,1839,64678.7,0.1,0.1,1,67,3.4,230.7,29042,60621-2020-53,POINT (-87.638812 41.776931)
60621,1,01/03/2021,01/09/2021,68,1772,234,6101.5,699,19483,2407,67085.6,0.1,0.1,1,68,3.4,234.1,29042,60621-2021-1,POINT (-87.638812 41.776931)
60621,10,03/07/2021,03/13/2021,20,2017,69,6945.1,601,24799,2069,85390.1,0.0,0.1,0,77,0.0,265.1,29042,60621-2021-10,POINT (-87.638812 41.776931)
60621,11,03/14/2021,03/20/2021,18,2035,62,7007.1,620,25419,2135,87525,0.0,0.1,2,79,6.9,272.0,29042,60621-2021-11,POINT (-87.638812 41.776931)
